ユーザー,日付,種別,カテゴリ,項目,金額
user01,2025-01-01,支出,家賃,家賃,85000
user01,2025-01-02,支出,外食費,ランチ,1200
user01,2025-01-02,支出,日用品,消耗品,1450
user01,2025-01-03,支出,娯楽費,映画館,2000
user01,2025-01-04,支出,交通費,電車賃,640
user01,2025-01-06,支出,日用品,ドラッグストア,3120
user01,2025-01-10,支出,光熱費,電気代,9820
user01,2025-01-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-01-25,収入,給与,月給,298000
user01,2025-01-26,支出,外食費,居酒屋,4500
user01,2025-01-28,支出,交通費,バス代,400
user01,2025-02-01,支出,家賃,家賃,85000
user01,2025-02-02,支出,外食費,カフェ,1100
user01,2025-02-03,支出,日用品,キッチン用品,1850
user01,2025-02-05,支出,娯楽費,書籍,1500
user01,2025-02-10,支出,光熱費,ガス代,5200
user01,2025-02-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-02-26,支出,外食費,ディナー,5200
user01,2025-03-01,支出,家賃,家賃,85000
user01,2025-03-02,支出,日用品,ドラッグストア,2200
user01,2025-03-05,支出,交通費,電車賃,800
user01,2025-03-10,支出,光熱費,水道代,4100
user01,2025-03-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-03-25,収入,給与,月給,285000
user01,2025-03-28,支出,娯楽費,ゲーム,6800
user01,2025-04-01,支出,家賃,家賃,85000
user01,2025-04-03,支出,外食費,ランチ,950
user01,2025-04-05,支出,日用品,消耗品,1300
user01,2025-04-10,支出,光熱費,電気代,7600
user01,2025-04-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-04-25,収入,給与,月給,305000
user01,2025-04-30,支出,娯楽費,映画館,2200
user01,2025-05-01,支出,家賃,家賃,85000
user01,2025-05-02,支出,外食費,カフェ,1250
user01,2025-05-04,支出,日用品,ドラッグストア,2800
user01,2025-05-06,支出,交通費,電車賃,540
user01,2025-05-10,支出,光熱費,ガス代,4900
user01,2025-05-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-05-20,収入,副業,副業報酬,35000
user01,2025-05-25,収入,給与,月給,292000
user01,2025-05-28,支出,娯楽費,書籍,2100
user01,2025-06-01,支出,家賃,家賃,85000
user01,2025-06-03,支出,外食費,ランチ,1100
user01,2025-06-05,支出,日用品,消耗品,1650
user01,2025-06-08,支出,交通費,タクシー,1800
user01,2025-06-10,支出,光熱費,電気代,8200
user01,2025-06-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-06-25,収入,給与,月給,315000
user01,2025-06-27,支出,外食費,居酒屋,5600
user01,2025-07-01,支出,家賃,家賃,85000
user01,2025-07-02,支出,日用品,ドラッグストア,3400
user01,2025-07-05,支出,娯楽費,イベント,8500
user01,2025-07-09,支出,交通費,電車賃,720
user01,2025-07-10,支出,光熱費,水道代,4300
user01,2025-07-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-07-18,収入,その他,臨時収入,20000
user01,2025-07-25,収入,給与,月給,298000
user01,2025-07-30,支出,外食費,ディナー,6200
user01,2025-08-01,支出,家賃,家賃,85000
user01,2025-08-04,支出,日用品,キッチン用品,1400
user01,2025-08-07,支出,交通費,バス代,450
user01,2025-08-10,支出,光熱費,電気代,11200
user01,2025-08-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-08-22,支出,娯楽費,ゲーム,4500
user01,2025-08-25,収入,給与,月給,302000
user01,2025-08-29,支出,外食費,カフェ,980
user01,2025-09-01,支出,家賃,家賃,85000
user01,2025-09-03,支出,外食費,ランチ,1150
user01,2025-09-05,支出,日用品,ドラッグストア,2600
user01,2025-09-08,支出,交通費,電車賃,620
user01,2025-09-10,支出,光熱費,ガス代,4800
user01,2025-09-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-09-20,支出,旅費,宿泊費,32000
user01,2025-09-25,収入,給与,月給,295000
user01,2025-09-28,支出,娯楽費,書籍,1800
user01,2025-10-01,支出,家賃,家賃,85000
user01,2025-10-04,支出,日用品,消耗品,1500
user01,2025-10-07,支出,交通費,バス代,400
user01,2025-10-10,支出,光熱費,電気代,7900
user01,2025-10-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-10-20,支出,医療費,病院診察,3500
user01,2025-10-25,収入,給与,月給,308000
user01,2025-10-28,支出,外食費,居酒屋,4800
user01,2025-11-01,支出,家賃,家賃,85000
user01,2025-11-03,支出,外食費,カフェ,950
user01,2025-11-06,支出,日用品,ドラッグストア,3100
user01,2025-11-10,支出,光熱費,水道代,4200
user01,2025-11-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-11-22,支出,税金,住民税,15000
user01,2025-11-25,収入,給与,月給,290000
user01,2025-11-29,支出,娯楽費,映画館,2200
user01,2025-12-01,支出,家賃,家賃,85000
user01,2025-12-04,支出,日用品,キッチン用品,1900
user01,2025-12-08,支出,交通費,電車賃,850
user01,2025-12-10,支出,光熱費,電気代,9200
user01,2025-12-15,支出,通信費,スマホ・ネット利用料,6000
user01,2025-12-20,支出,外食費,ディナー,8500
user01,2025-12-25,収入,給与,月給,350000
user01,2025-12-28,支出,娯楽費,ゲーム,7800
user01,2026-01-01,支出,家賃,家賃,85000
user01,2026-01-03,支出,外食費,ランチ,1300
user01,2026-01-05,支出,日用品,消耗品,1600
user01,2026-01-08,支出,交通費,電車賃,720
user01,2026-01-10,支出,光熱費,電気代,8900
user01,2026-01-15,支出,通信費,スマホ・ネット利用料,6000
user01,2026-01-18,支出,娯楽費,映画館,2200
user01,2026-01-25,収入,給与,月給,305000
user01,2026-01-27,支出,外食費,ディナー,4800
user01,2026-01-29,支出,日用品,ドラッグストア,2400
